Date_collected,Date_sequenced,Year,File,Sample,discrete_host,host,strain_name,State_Abrev
1/27/24,3/1/24,2024,24-007264-003-original,24-007264-003_CHICKEN_2024-03-07,wild-bird,red-tailed_hawk,A/red-tailed_hawk/California/24-003714-001/2024,CA
1/29/24,3/3/24,2024,24-008354-001-original,24-008354-001_BLACKBIRD_2024-03-16,wild-bird,red-tailed_hawk,A/red-tailed_hawk/Pennsylvania/24-003811-001/2024,PA
1/26/24,3/3/24,2024,24-008356-003-original,24-008356-003_Wild-Bird_COGR_2024-03-18,wild-bird,red-tailed_hawk,A/red-tailed_hawk/Pennsylvania/24-003812-001/2024,PA
1/24/24,3/3/24,2024,24-008357-001-original,24-008357-001_BLACKBIRD_2024-03-16,wild-bird,canada_goose,A/canada_goose/Pennsylvania/24-003813-001/2024,PA
